Date,Symbol,Series,Close,Prev_Close,Traded_Qty,Delivery_Qty,Delivery_Percent
2026-08-25,SBIN,EQ,1048.0,1039.5,9982723,5170787,51.8
2026-08-25,SHREECEM,EQ,24440.0,24020.0,126056,110190,87.41
2026-08-25,SHRIRAMFIN,EQ,1138.5,1119.0,2440583,1388928,56.91
2026-08-25,SIEMENS,EQ,4090.5,4114.0,625842,265593,42.44
2026-08-25,SRF,EQ,2575.0,2580.8,449862,276152,61.39
2026-08-25,SUNPHARMA,EQ,1922.0,1910.0,1221044,708036,57.99
2026-08-25,SUNTV,EQ,468.9,468.75,210263,95244,45.3
2026-08-25,SYNGENE,EQ,406.4,398.55,399141,208706,52.29
2026-08-25,TATACHEM,EQ,626.35,626.95,277685,120023,43.22
2026-08-25,TATACOMM,EQ,1699.9,1688.5,416394,270294,64.91
2026-08-25,TATACONSUM,EQ,1060.5,1062.5,717171,368530,51.39
2026-08-25,TATAPOWER,EQ,370.6,373.5,9167396,6308101,68.81
2026-08-25,TATASTEEL,EQ,186.94,186.3,24578020,14063585,57.22
2026-08-25,TCS,EQ,2296.2,2284.1,3041609,1144023,37.61
2026-08-25,TECHM,EQ,1599.9,1584.0,1383429,795709,57.52
2026-08-25,TITAN,EQ,5124.8,5079.0,347515,184670,53.14
2026-08-25,TORNTPHARM,EQ,4932.0,4886.5,214851,129705,60.37
2026-08-25,TRENT,EQ,2930.0,2905.0,620202,308396,49.73
2026-08-25,TVSMOTOR,EQ,4420.0,4363.5,527228,327482,62.11
2026-08-25,UBL,EQ,1348.6,1346.7,102467,37453,36.55
2026-08-25,ULTRACEMCO,EQ,11540.0,11504.0,225470,145224,64.41
2026-08-25,UPL,EQ,585.0,571.9,3864498,1649487,42.68
2026-08-25,VEDL,EQ,275.0,277.0,7970246,3029837,38.01
2026-08-25,VOLTAS,EQ,1243.0,1242.0,318747,124752,39.14
2026-08-25,WHIRLPOOL,EQ,767.3,769.05,90829,44298,48.77
2026-08-25,WIPRO,EQ,180.09,181.31,8352475,4564208,54.64
2026-08-25,ZEEL,EQ,104.82,104.57,18052110,4568079,25.3
2026-08-25,ZYDUSLIFE,EQ,1124.5,1103.8,1152463,576173,49.99
2026-08-26,AARTIIND,EQ,542.95,538.9,710144,283840,39.97
2026-08-26,ABB,EQ,7609.0,7627.0,200058,121098,60.53
2026-08-26,ABBOTINDIA,EQ,26555.0,26415.0,6271,4027,64.22
2026-08-26,ABCAPITAL,EQ,410.0,410.85,2231478,1103930,49.47
2026-08-26,ABFRL,EQ,54.52,54.48,4108969,2252110,54.81
2026-08-26,ACC,EQ,1331.7,1305.9,179602,95868,53.38
2026-08-26,ADANIENT,EQ,3112.0,3110.0,2044729,1097829,53.69
2026-08-26,ADANIPORTS,EQ,1691.5,1702.7,1937255,1226714,63.32
2026-08-26,ALKEM,EQ,5303.5,5368.0,44001,21155,48.08
2026-08-26,AMBUJACEM,EQ,419.2,413.1,2740269,1228823,44.84
2026-08-26,APOLLOHOSP,EQ,8766.5,8889.0,150629,76259,50.63
2026-08-26,APOLLOTYRE,EQ,443.05,441.4,376674,164043,43.55
2026-08-26,ASHOKLEY,EQ,179.05,174.69,17868582,7398371,41.4
2026-08-26,ASIANPAINT,EQ,2626.5,2639.8,339110,171342,50.53
2026-08-26,ASTRAL,EQ,1526.1,1540.0,408686,219710,53.76
2026-08-26,ATUL,EQ,6526.0,6492.5,23384,15788,67.52
2026-08-26,AUBANK,EQ,1113.5,1128.6,618521,303012,48.99
2026-08-26,AUROPHARMA,EQ,1623.0,1617.8,679792,308460,45.38
2026-08-26,AXISBANK,EQ,1255.0,1235.0,3298266,1973535,59.84
2026-08-26,BAJAJ-AUTO,EQ,11724.0,11927.0,166838,98253,58.89
2026-08-26,BAJAJFINSV,EQ,2010.0,2004.0,564145,340199,60.3
2026-08-26,BAJFINANCE,EQ,1085.0,1087.4,3234877,1911489,59.09
2026-08-26,BALKRISIND,EQ,2328.6,2366.3,200421,132471,66.1
2026-08-26,BALRAMCHIN,EQ,674.35,668.1,4191913,610531,14.56
2026-08-26,BANDHANBNK,EQ,173.5,173.5,3786900,1373566,36.27
2026-08-26,BANKBARODA,EQ,242.5,241.0,4759203,2262269,47.53
2026-08-26,BATAINDIA,EQ,685.55,684.7,124114,55610,44.81
2026-08-26,BEL,EQ,406.9,413.25,7631016,5143502,67.4
2026-08-26,BERGEPAINT,EQ,503.7,509.85,636414,457358,71.86
2026-08-26,BHARATFORG,EQ,2005.0,2052.5,456259,238938,52.37
2026-08-26,BHARTIARTL,EQ,1902.1,1947.0,4552921,2908000,63.87
2026-08-26,BHEL,EQ,415.5,417.0,3386320,1256503,37.11
2026-08-26,BIOCON,EQ,417.5,417.2,2245587,1365829,60.82
2026-08-26,BOSCHLTD,EQ,48895.0,48680.0,28910,16529,57.17
2026-08-26,BPCL,EQ,318.0,318.1,3340608,1388312,41.56
2026-08-26,BRITANNIA,EQ,5310.0,5382.5,119636,56072,46.87
2026-08-26,BSOFT,EQ,293.55,291.0,843426,374707,44.43
2026-08-26,CANBK,EQ,129.45,128.81,15134921,7298478,48.22
2026-08-26,CANFINHOME,EQ,802.75,805.4,365074,198589,54.4
2026-08-26,CHAMBLFERT,EQ,427.55,427.6,565043,272042,48.15
2026-08-26,CHOLAFIN,EQ,1868.1,1873.0,1362590,647334,47.51
2026-08-26,CIPLA,EQ,1402.7,1422.0,915493,465399,50.84
2026-08-26,COALINDIA,EQ,403.5,404.0,5118183,3462424,67.65
2026-08-26,COFORGE,EQ,1880.0,1892.8,1622085,759938,46.85
2026-08-26,COLPAL,EQ,1860.0,1876.8,227479,121908,53.59
2026-08-26,CONCOR,EQ,517.0,516.0,2059514,1046508,50.81
2026-08-26,COROMANDEL,EQ,1949.7,1913.6,292075,152741,52.3
2026-08-26,CROMPTON,EQ,238.25,243.0,11453734,6290331,54.92
2026-08-26,CUB,EQ,226.8,221.6,2348389,1040864,44.32
2026-08-26,CUMMINSIND,EQ,5200.0,5239.5,714039,443722,62.14
2026-08-26,DABUR,EQ,392.2,395.05,1276848,714951,55.99
2026-08-26,DALBHARAT,EQ,1898.0,1824.0,332647,112385,33.79
2026-08-26,DEEPAKNTR,EQ,1776.7,1751.0,433959,199105,45.88
2026-08-26,DELTACORP,EQ,60.72,61.52,691986,254633,36.8
2026-08-26,DIVISLAB,EQ,9025.0,8744.5,708128,327325,46.22
2026-08-26,DIXON,EQ,14735.0,14990.0,429021,176288,41.09
2026-08-26,DLF,EQ,672.5,682.95,2143983,1009420,47.08
2026-08-26,DRREDDY,EQ,1182.0,1193.5,1993156,1159893,58.19
2026-08-26,EICHERMOT,EQ,8035.0,8055.0,198320,124194,62.62
2026-08-26,ESCORTS,EQ,3067.0,3064.8,21797,9704,44.52
2026-08-26,EXIDEIND,EQ,444.0,448.75,1173750,580444,49.45
2026-08-26,FEDERALBNK,EQ,345.3,346.95,6361778,3409974,53.6
2026-08-26,GAIL,EQ,174.49,175.5,5863526,3344198,57.03
2026-08-26,GLENMARK,EQ,2438.3,2400.0,479931,179829,37.47
2026-08-26,GNFC,EQ,584.25,588.0,269624,154700,57.38
2026-08-26,GODREJCP,EQ,922.8,929.2,704451,417865,59.32
2026-08-26,GODREJPROP,EQ,2035.1,2049.0,700923,305870,43.64
2026-08-26,GRANULES,EQ,828.2,845.95,610115,359978,59.0
2026-08-26,GRASIM,EQ,3299.9,3289.6,1112414,642215,57.73
2026-08-26,HAL,EQ,4865.5,4900.0,416245,164181,39.44
2026-08-26,HAVELLS,EQ,1258.7,1269.1,455405,291070,63.91
2026-08-26,HCLTECH,EQ,1298.5,1315.8,834925,445018,53.3
2026-08-26,HDFCAMC,EQ,2667.9,2698.0,608105,347117,57.08
2026-08-26,HDFCBANK,EQ,727.2,727.5,21156463,14135347,66.81
2026-08-26,HDFCLIFE,EQ,553.0,546.7,3818521,2186933,57.27
2026-08-26,HEROMOTOCO,EQ,5595.0,5624.5,451708,225381,49.9
2026-08-26,HINDALCO,EQ,1053.0,1051.05,2289903,1191934,52.05
2026-08-26,HINDCOPPER,EQ,556.05,532.65,56459799,18191094,32.22
2026-08-26,HINDPETRO,EQ,375.5,373.2,3071299,1098680,35.77
2026-08-26,HINDUNILVR,EQ,2021.0,2024.2,765343,479324,62.63
