Date,Symbol,Close,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_Calendar_Month_Max,Delivery_Percent
2021-09-14,BRITANNIA,4101.5,0.18686566435018603,191209,,,0,45.59
2021-09-14,BSOFT,408.9,0.036697247706416455,624328,,,0,51.65
2021-09-14,CANBK,155.25,-0.9885204081632725,4461742,,,0,46.11
2021-09-14,CANFINHOME,630.35,-0.2216066481994424,328821,,,0,27.3
2021-09-14,CHAMBLFERT,320.3,1.553582752060886,409659,,,0,56.85
2021-09-14,CHOLAFIN,581.25,-0.5390143737166285,690192,,,0,30.59
2021-09-14,CIPLA,953.15,0.2840759640170374,864685,,,0,62.94
2021-09-14,COALINDIA,154.7,0.06468305304009982,3172869,,,0,36.04
2021-09-14,COFORGE,5295.55,2.2731442587174175,116399,,,0,29.37
2021-09-14,COLPAL,1732.95,0.5599721464631864,188766,,,0,60.73
2021-09-14,CONCOR,729.1,-1.5461481331442757,575500,,,0,46.51
2021-09-14,COROMANDEL,827.2,-0.9400634692533274,76097,,,0,29.46
2021-09-14,CROMPTON,489.9,0.7402837754472478,534364,,,0,59.21
2021-09-14,CUB,156.9,0.8678881388620986,417299,,,0,27.11
2021-09-14,CUMMINSIND,1038.65,-0.526744241727721,215833,,,0,44.83
2021-09-14,DABUR,639.2,-0.15620118712902217,905993,,,0,63.68
2021-09-14,DALBHARAT,2447.85,1.5958329874657513,311634,,,0,54.68
2021-09-14,DEEPAKNTR,2451.15,0.9700939199209171,317542,,,0,31.68
2021-09-14,DELTACORP,230.4,3.6670416197975277,2982476,,,0,23.62
2021-09-14,DIVISLAB,5094.85,0.18976638086998635,184924,,,0,35.48
2021-09-14,DIXON,4289.15,-0.408660823126496,82210,,,0,44.24
2021-09-14,DLF,342.3,0.7802149271308801,2212855,,,0,32.39
2021-09-14,DRREDDY,4930.75,-0.013180841140439555,114330,,,0,36.88
2021-09-14,EICHERMOT,2820.3,0.545454545454552,135497,,,0,20.14
2021-09-14,ESCORTS,1466.0,6.320484461689095,973215,,,0,22.94
2021-09-14,EXIDEIND,182.6,-0.7878293941863717,2011998,,,0,46.29
2021-09-14,FEDERALBNK,82.35,0.30450669914738127,2738296,,,0,47.99
2021-09-14,GAIL,156.0,6.922549691569564,12346930,,,0,34.0
2021-09-14,GLENMARK,531.55,2.477347214189302,416721,,,0,37.08
2021-09-14,GMRINFRA,30.0,0.0,1449768,,,0,33.46
2021-09-14,GNFC,339.85,0.7858837485172107,407679,,,0,65.56
2021-09-14,GODREJCP,1114.05,-0.6421404682274288,274167,,,0,54.16
2021-09-14,GODREJPROP,1615.8,0.6164767420138155,151988,,,0,26.83
2021-09-14,GRANULES,335.6,3.628222942720395,740869,,,0,27.14
2021-09-14,GRASIM,1611.8,0.33927848849877335,396847,,,0,36.65
2021-09-14,GUJGASLTD,672.7,-0.510241810249195,475172,,,0,46.36
2021-09-14,HAL,1409.95,0.33446006048746096,366135,,,0,15.86
2021-09-14,HAVELLS,1465.55,1.0654437624991413,446500,,,0,43.6
2021-09-14,HCLTECH,1238.65,2.5033101621979474,3339205,,,0,59.7
