Date,Symbol,Close,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_30_Day_Max,Delivery_Percent
2026-08-14,ALKEM,5368.0,-1.4955500504633452,201122,15244,13.193518761479927,15244,31.64
2026-08-14,PETRONET,282.6,1.1815252416756217,3341274,694199,4.813135714686999,694199,71.36
2026-08-14,ZEEL,102.28,5.71576227390181,25911414,6973360,3.715771737010566,6973360,23.29
2026-08-14,SHREECEM,24795.0,-1.7825311942959003,29193,7871,3.708931520772456,7871,57.01
2026-08-14,MFSL,1538.1,1.6992859032001995,1093702,299170,3.655787679245914,299170,27.56
2026-08-14,MRF,133490.0,1.9124327213039662,2780,886,3.1376975169300225,886,57.24
2026-08-14,LTTS,3476.8,-3.548145476738692,67782,21909,3.0937970696973847,21909,47.45
2026-08-14,DABUR,405.25,-1.1585365853658536,1125683,386410,2.9131828886415985,386410,76.91
2026-08-14,VOLTAS,1320.5,2.404032570763862,606009,231860,2.6136849823169155,231860,25.52
2026-08-14,TRENT,2978.0,-0.4013377926421404,1007597,400189,2.51780283815897,400189,61.12
2026-08-14,PERSISTENT,5580.0,1.0320478001086366,255024,105225,2.4236065573770493,105225,40.26
2026-08-14,GNFC,568.95,3.37027616279071,467073,195238,2.3923262889396533,195238,51.43
2026-08-14,HDFCAMC,2485.0,-0.580116023204641,1163641,492549,2.362487793092667,492549,74.37
2026-08-14,INDIACEM,375.3,-1.7539267015706776,92998,39847,2.333877079830351,39847,55.78
2026-08-14,BERGEPAINT,545.1,-0.22879106799670537,488598,224418,2.1771783012057857,224418,54.78
2026-08-14,BAJFINANCE,1087.0,-0.3483681701503442,2734545,1267952,2.156662870518758,1267952,64.71
2026-08-14,OFSS,11828.0,3.572679509632224,107988,50361,2.1442783105974863,50361,41.75
2026-08-14,JINDALSTEL,1091.5,-0.7637057914355933,207691,97792,2.1238035831151834,97792,42.07
2026-08-14,APOLLOHOSP,8920.5,3.7267441860465116,606817,293894,2.064747834253166,293894,47.57
2026-08-17,IPCALAB,1884.6,8.672586783531303,1349517,183144,7.368611584327087,334220,19.38
2026-08-17,OBEROIRLTY,1931.0,4.604550379198267,517046,87465,5.911461727548162,446865,29.02
2026-08-17,LICHSGFIN,498.25,-0.35000000000000003,1898751,467232,4.063829104170948,819179,66.88
2026-08-17,HDFCLIFE,543.0,1.3343286367453535,1733823,448311,3.8674558509606056,926791,55.85
2026-08-17,BALRAMCHIN,655.75,4.945186844842758,493953,142083,3.476510208821604,142083,35.37
2026-08-17,JKCEMENT,5340.0,0.6313012343352492,23233,6761,3.436325987279988,6761,42.79
2026-08-17,HINDCOPPER,572.65,8.24118703336169,9178674,2693787,3.4073495788642534,4577954,31.29
2026-08-17,GRASIM,3250.5,0.055406778095859324,820222,267894,3.0617408377940527,335610,61.93
2026-08-17,ZYDUSLIFE,1131.5,-0.3259337561663183,1093421,366758,2.9813146543497346,813315,56.73
2026-08-17,ICICIPRULI,507.0,-0.4222724148089909,1104736,407016,2.714232364329658,594725,72.55
2026-08-17,NAUKRI,1355.8,0.9530900967982096,1833172,675988,2.7118410385983185,675988,59.84
2026-08-17,CUB,215.2,3.1441717791411055,1779467,667653,2.66525725189582,1164768,53.98
2026-08-17,DEEPAKNTR,1780.5,3.325208913649022,247021,95922,2.5752277892454285,95922,51.81
2026-08-17,AMBUJACEM,415.25,-0.5389221556886228,2244825,879878,2.5512912017347857,1266153,56.58
2026-08-17,EXIDEIND,475.7,-0.08401596303298342,1764099,709370,2.48685312319382,974980,58.32
2026-08-17,VOLTAS,1267.0,-4.051495645588792,1414452,606009,2.3340445438929125,606009,32.31
2026-08-17,ONGC,238.49,0.8840947546531317,16782235,8051511,2.084358451475754,8051511,66.22
2026-08-17,SUNPHARMA,1882.0,-2.4870466321243523,1250365,609862,2.0502425138801894,758400,66.05
2026-08-17,ESCORTS,3133.6,0.6391110254680956,32959,16303,2.0216524566030794,16303,58.61
2026-08-18,PIIND,2515.0,1.7394822006472492,408274,58427,6.987762507060092,188478,65.44
2026-08-18,COLPAL,1903.0,-3.105906313645621,217439,51498,4.222280476911725,111376,30.12
2026-08-18,HCLTECH,1298.0,-2.0377358490566038,1928909,527315,3.657982420374918,582574,63.1
2026-08-18,ASIANPAINT,2628.4,-2.199069767441857,538523,170249,3.1631492695992343,366665,52.95
2026-08-18,BOSCHLTD,48730.0,3.747072599531616,36627,11606,3.155867654661382,15150,39.01
2026-08-18,ABCAPITAL,402.0,0.8276899924755485,2656485,974058,2.7272349285155504,1001063,61.57
2026-08-18,MCX,3040.0,3.6446080938256484,1257872,472244,2.663606101930358,1226788,39.46
2026-08-18,ICICIGI,1623.8,-0.15372317530590912,424848,162284,2.6179290626309433,352294,67.89
2026-08-18,DLF,665.75,-0.782414307004471,2621601,1017370,2.5768412671889283,1207192,42.98
2026-08-18,BRITANNIA,5495.0,-0.470929179496468,189783,83067,2.2846978944707286,135141,67.44
2026-08-18,BANDHANBNK,170.5,-1.5873015873015872,2355422,1125869,2.092092419277909,1515212,51.78
2026-08-18,DELTACORP,60.71,0.8806912595546713,461332,223108,2.067751940764114,362761,42.92
2026-08-19,APOLLOTYRE,427.35,-1.9839449541284353,1551426,118673,13.073116884211236,206438,80.31
2026-08-19,IGL,152.64,2.1755137559408264,1962541,420398,4.668292903391548,1054239,14.26
2026-08-19,HDFCLIFE,536.3,-0.3622851834649411,1931179,749424,2.576884380537586,1733823,66.76
2026-08-19,METROPOLIS,555.0,0.5525862849895741,131547,58675,2.241959948870899,128583,54.39
2026-08-19,TCS,2289.0,0.39473684210526316,1780817,799420,2.227636286307573,1171943,52.86
2026-08-19,OFSS,11774.0,1.2991482405575152,127487,57836,2.204284528667266,107988,54.57
2026-08-19,CROMPTON,245.5,0.285947712418296,1085016,512530,2.1169804694359353,621085,49.17
2026-08-19,UBL,1354.8,-0.051641460715606456,60019,29500,2.034542372881356,29500,54.29
2026-08-20,BALRAMCHIN,767.1,17.870313460356495,4426907,595321,7.436168050513924,595321,13.21
2026-08-20,SYNGENE,395.5,-0.34017890890765345,1173819,167660,7.001186925921508,448761,62.32
2026-08-20,JSWSTEEL,1299.7,1.081039041841662,1831440,403048,4.543974911176832,1277796,53.61
2026-08-20,AUBANK,1088.0,1.2093023255813953,2259079,567249,3.982517377730062,1004250,61.41
2026-08-20,METROPOLIS,540.8,-2.5585585585585666,400907,131547,3.0476331653325426,131547,67.13
2026-08-20,CANFINHOME,842.9,3.0881183880633523,255881,85048,3.0086656946665413,102894,59.31
2026-08-20,BAJFINANCE,1095.0,1.3701166450657243,4486388,1655254,2.7103924835704976,2734545,66.55
2026-08-20,COFORGE,1882.0,3.8001213391429096,1982917,856260,2.3157884287482773,902050,49.55
2026-08-20,RBLBANK,392.3,2.8309305373525584,999295,455069,2.195919739643878,974287,36.61
2026-08-20,ITC,271.65,1.722523871934082,18907919,8836852,2.13966681800261,8836852,66.88
2026-08-21,CROMPTON,252.0,0.0,7423712,1793829,4.138472507691647,1793829,55.43
2026-08-21,INDIGO,5110.0,-1.0648596321393997,652293,189400,3.443996832101373,293704,58.48
2026-08-21,BRITANNIA,5365.0,-3.298485940879596,343535,100574,3.415743631554875,189783,48.76
2026-08-21,SIEMENS,3920.0,1.0309278350515463,230810,68017,3.3934163517944045,109351,61.8
2026-08-21,CUMMINSIND,5107.5,-1.8731988472622478,493598,156998,3.1439763563867054,287353,65.49
2026-08-21,VEDL,279.0,4.104477611940299,11547864,4455717,2.5916960166006953,5167918,50.02
2026-08-21,COALINDIA,405.2,0.6708074534161462,7723870,3134498,2.4641489642041563,4385992,74.79
2026-08-21,TVSMOTOR,4390.0,0.0,693979,298051,2.3283901077332403,347085,76.04
2026-08-24,COROMANDEL,1926.6,-3.481789489504534,200571,15390,13.032553606237817,62688,64.85
2026-08-24,SAIL,179.65,3.5685460624927923,21802749,5659915,3.8521336451165786,7754241,45.21
2026-08-24,DLF,689.0,1.6074325320749119,3432335,1073858,3.196265241773121,2621601,67.32
2026-08-24,MUTHOOTFIN,3209.0,6.187954996690933,1117308,401594,2.782183000742043,815509,34.18
2026-08-24,LAURUSLABS,1801.0,-0.05549389567147614,2236577,862995,2.5916453745386705,862995,77.28
2026-08-24,PVRINOX,1231.8,1.232741617357002,479745,192172,2.49643548487813,213183,55.48
2026-08-24,ULTRACEMCO,11504.0,-0.5704407951598963,187922,77263,2.4322379405407504,153750,63.12
2026-08-24,LICHSGFIN,491.4,-1.1267605633802862,2492758,1231532,2.0241114319400553,1898751,57.31
2026-08-25,SHREECEM,24440.0,1.7485428809325563,110190,6352,17.34729219143577,29193,87.41
2026-08-25,DABUR,395.05,-0.8533065629313533,2153874,404720,5.3218867365091915,1125683,64.81
2026-08-25,IDEA,15.19,7.960199004975118,434818267,83936634,5.18031574866345,199493804,28.34
2026-08-25,HINDCOPPER,532.65,-7.228076286684665,18234174,3764136,4.844185757369022,9178674,40.84
2026-08-25,SBILIFE,1755.0,-0.38596889544783486,1092715,278670,3.921179172497937,962214,66.56
2026-08-25,CHAMBLFERT,427.6,-0.7773523610627604,826295,237605,3.477599377117485,247473,32.9
2026-08-25,ABCAPITAL,410.85,-0.4964882538144719,2742368,796148,3.444545486517582,2656485,69.37
2026-08-25,AUBANK,1128.6,1.310592459605019,3075009,998722,3.078943890291793,2259079,54.06
2026-08-25,DELTACORP,61.52,4.483695652173914,1123211,383644,2.9277429074871497,513970,33.45
2026-08-25,TATAPOWER,370.6,-0.7764390896920956,6308101,2207710,2.8573050808303626,3620661,68.81
2026-08-25,FEDERALBNK,346.95,-3.018867924528305,8628960,3168089,2.7237113603816057,3168089,53.48
2026-08-25,TATACOMM,1699.9,0.6751554634290845,270294,103096,2.621770000775976,227841,64.91
2026-08-25,GRANULES,845.95,-1.093183678241542,362867,146948,2.4693565070637233,360696,59.83
2026-08-25,DIVISLAB,8744.5,2.9249058380414312,269149,131241,2.0507996738823997,226660,47.75
2026-08-26,ICICIGI,1596.9,-1.1819306930693014,3722150,480274,7.750055176836556,650041,66.06
2026-08-26,VEDL,286.5,4.181818181818182,12754810,3029837,4.209734715101836,11547864,52.79
2026-08-26,UBL,1353.7,0.3781699540264079,124599,37453,3.3268096013670467,60019,37.27
2026-08-26,CHOLAFIN,1868.1,-0.26161238654565355,647334,206259,3.1384521402702426,570083,47.51
2026-08-26,ACC,1331.7,1.9756489777165136,95868,32368,2.961814137419674,79498,53.38
2026-08-26,LUPIN,2185.0,0.43668122270742354,742821,302319,2.4570767963641056,529281,60.39
2026-08-26,KOTAKBANK,416.7,3.759960159362541,12586149,5786301,2.175163200116966,10859078,62.4
2026-08-26,IEX,122.0,-1.771336553945252,1970552,938535,2.0996041703292896,1816521,50.22
2026-08-27,WHIRLPOOL,841.15,8.99961124789425,864176,83808,10.311378388697976,267937,15.85
2026-08-27,ESCORTS,2974.1,-3.029018584936423,77035,9704,7.938478977741138,39736,57.17
2026-08-27,HDFCAMC,2575.0,-3.482139510476408,1383230,347117,3.9849099871224976,1163641,65.81
2026-08-27,BHARATFORG,2050.0,2.2443890274314215,909177,238938,3.8050749566833235,793236,62.04
2026-08-27,NTPC,330.9,-1.1057979677226675,8494065,2472776,3.43503212583752,6295642,65.79
2026-08-27,TITAN,5139.3,0.7705882352941212,641424,214271,2.9935175548721014,369911,58.21
2026-08-27,RAMCOCEM,892.55,-5.113485355870942,351251,121736,2.885350266149701,206359,49.74
2026-08-27,AXISBANK,1256.0,0.0796812749003984,4959803,1973535,2.5131568479910413,4071987,70.8
2026-08-27,JINDALSTEL,1170.0,-0.4594180704441118,792198,323542,2.448516730439943,471218,51.65
2026-08-27,BALKRISIND,2352.1,1.0091900712874688,312896,132471,2.3619962104913528,259888,63.77
